name,站点类型,Lon,Lat,侧项类别,统计时间,更新时间,纬度,经度
松潘安宏强震台,无人值守,104,32,强震,2020年3月,48:10.0,,
松潘川主强震台,无人值守,104,33,强震,2020年3月,48:10.0,,
汉源乌斯强震台,无人值守,103,29,强震,2020年3月,48:10.0,,
汉源九襄强震台,无人值守,103,29,强震,2020年3月,48:10.0,,
汉源宜东强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
汉源清溪强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
汉源黑马强震台,无人值守,103,29,强震,2020年3月,48:10.0,,
江油专业强震台,无人值守,104,32,强震,2020年3月,48:10.0,,
江油含增强震台,无人值守,105,32,强震,2020年3月,48:10.0,,
江油武都强震台,无人值守,105,32,强震,2020年3月,48:10.0,,
江油重华强震台,无人值守,105,32,强震,2020年3月,48:10.0,,
汶川卧龙强震台,无人值守,103,31,强震,2020年3月,48:10.0,,
汶川地办强震台,无人值守,104,31,强震,2020年3月,48:10.0,,
沐川利店强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
沐川幸福强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
泸定冷碛强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
泸定加郡强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
泸定得妥强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
泸定水厂强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
泸定甘谷强震台,无人值守,102,30,强震,2020年3月,48:10.0,,
泸州专业强震台,无人值守,105,29,强震,2020年3月,48:10.0,,
洪雅科技强震台,无人值守,103,30,强震,2020年3月,48:10.0,,
炉霍专业强震台,无人值守,101,31,强震,2020年3月,48:10.0,,
炉霍侏倭强震台,无人值守,100,32,强震,2020年3月,48:10.0,,
炉霍地办强震台,无人值守,101,31,强震,2020年3月,48:10.0,,
炉霍旦都强震台,无人值守,100,32,强震,2020年3月,48:10.0,,
炉霍雅德强震台,无人值守,101,31,强震,2020年3月,48:10.0,,
犍为地办强震台,无人值守,104,29,强震,2020年3月,48:10.0,,
珙县中学强震台,无人值守,105,28,强震,2020年3月,48:10.0,,
理县木卡强震台,无人值守,103,32,强震,2020年3月,48:10.0,,
理县桃平强震台,无人值守,103,32,强震,2020年3月,48:10.0,,
理县沙坝强震台,无人值守,103,32,强震,2020年3月,48:10.0,,
理县米亚强震台,无人值守,103,32,强震,2020年3月,48:10.0,,
甘孜专业强震台,无人值守,100,32,强震,2020年3月,48:10.0,,
甘孜地办强震台,无人值守,100,32,强震,2020年3月,48:10.0,,
甘洛气象强震台,无人值守,103,29,强震,2020年3月,48:10.0,,
盐源卫城强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
盐源干海强震台,无人值守,101,27,强震,2020年3月,48:10.0,,
盐源平川强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
盐源梅雨强震台,无人值守,101,27,强震,2020年3月,48:10.0,,
盐源民中强震台,无人值守,102,27,强震,2020年3月,48:10.0,,
盐源泸沽强震台,无人值守,101,28,强震,2020年3月,48:10.0,,
盐源盐塘强震台,无人值守,101,27,强震,2020年3月,48:10.0,,
盐源金河强震台,无人值守,102,28,强震,2020年3月,48:10.0,,
盐边和爱强震台,无人值守,102,26,强震,2020年3月,48:10.0,,
